,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
374,Winnemucca,40.97,-117.74,32.0,37,1,4.32,US,1619183500
375,Torit,4.41,32.57,94.19,34,92,2.95,SS,1619183500
376,Nelson Bay,-32.72,152.15,54.0,93,96,5.7,AU,1619183500
377,Port Macquarie,-31.43,152.92,51.01,94,3,1.01,AU,1619183501
378,Coquimbo,-29.95,-71.34,59.0,82,90,2.3,CL,1619183501
379,Viedma,-40.81,-63.0,64.35,57,56,5.86,AR,1619183502
380,Vostok,46.49,135.88,50.22,80,100,7.38,RU,1619183502
381,Ključ,44.53,16.77,66.0,36,20,4.61,BA,1619183502
382,Palmares do Sul,-30.26,-50.51,73.6,63,100,13.76,BR,1619183503
383,Ugoofaaru,5.67,73.0,83.77,70,61,8.9,MV,1619183503
384,Mana,5.66,-53.78,79.88,84,89,12.53,GF,1619183504
385,Fort Nelson,58.81,-122.7,26.6,50,75,9.22,CA,1619183504
386,Baiyin,36.56,104.21,57.2,77,75,8.95,CN,1619183504
387,Walvis Bay,-22.96,14.51,82.4,36,0,11.5,NA,1619183505
388,Broken Hill,-31.95,141.43,59.0,51,100,8.05,AU,1619183505
389,Rockland,41.17,-74.05,46.0,50,0,11.81,US,1619183418
390,Burnie,-41.07,145.92,46.99,89,65,3.0,AU,1619183505
391,Port Blair,11.67,92.75,82.51,69,11,9.53,IN,1619183506
392,Alta Floresta,-9.88,-56.09,78.3,82,9,2.04,BR,1619183506
393,Hirara,24.8,125.28,72.37,77,100,25.84,JP,1619183506
394,Māndal,25.45,74.57,96.69,11,7,13.0,IN,1619183507
395,Mumford,5.26,-0.76,85.37,71,93,14.85,GH,1619183507
396,Sydney Mines,46.24,-60.22,39.0,60,75,20.71,CA,1619183476
397,Bali,-8.5,115.0,82.4,78,20,5.75,ID,1619183507
398,Brownsville,25.9,-97.5,75.2,88,90,17.27,US,1619183508
399,Beringovskiy,63.05,179.32,15.84,86,100,4.88,RU,1619183508
400,Mtwara,-10.27,40.18,86.0,66,75,20.71,TZ,1619183508
401,Otradnoye,59.78,30.82,46.4,49,75,15.66,RU,1619183509
402,Magdagachi,53.45,125.8,28.8,54,0,5.21,RU,1619183509
403,Avera,33.19,-82.53,50.0,71,1,2.59,US,1619183510
404,Uvalde,29.37,-99.77,68.0,100,90,6.91,US,1619183510
405,Mehamn,71.04,27.85,41.0,70,75,8.05,NO,1619183510
406,Gainesville,29.65,-82.32,63.0,63,1,6.91,US,1619183322
407,Kabare,-2.47,28.82,68.65,89,99,3.09,CD,1619183511
408,Dickinson,29.46,-95.05,72.0,94,90,6.91,US,1619183511
409,Hurghada,27.26,33.81,87.8,29,0,13.8,EG,1619183511
410,Klyuchi,52.27,79.17,43.36,35,59,10.8,RU,1619183512
411,Mayo,38.89,-76.51,50.0,46,1,10.47,US,1619183512
412,Kieta,-6.22,155.63,77.0,89,100,4.68,PG,1619183513
413,Cairns,-16.92,145.77,73.4,88,75,10.36,AU,1619183513
414,Lobatse,-25.22,25.67,78.8,24,40,1.14,BW,1619183513
415,Zambezi,-13.54,23.1,86.13,32,53,5.73,ZM,1619183513
416,Jasrāna,27.25,78.68,98.2,9,5,10.89,IN,1619183514
417,Ilebo,-4.32,20.58,84.42,65,99,0.78,CD,1619183514
418,Bintulu,3.17,113.03,84.2,79,20,3.44,MY,1619183515
419,Clarence Town,-32.58,151.78,54.0,93,100,2.93,AU,1619183515
420,Rosario,-32.95,-60.64,70.0,77,75,10.36,AR,1619183515
421,Saint-Pierre,-21.34,55.48,78.8,78,90,20.71,RE,1619183516
422,Alexandria,31.22,29.96,75.2,46,40,9.22,EG,1619183223
423,Ahipara,-35.17,173.17,61.92,89,11,10.11,NZ,1619183516
424,Barra da Estiva,-13.63,-41.33,73.56,70,61,3.31,BR,1619183517
425,Quatre Cocos,-20.21,57.76,80.6,78,75,11.5,MU,1619183517
426,Tuatapere,-46.13,167.68,48.0,95,39,1.99,NZ,1619183517
427,Saint-Augustin,51.23,-58.65,36.57,73,100,18.14,CA,1619183518
428,Kungälv,57.87,11.98,53.01,35,8,1.99,SE,1619183518
429,Mendi,-6.18,143.65,57.27,97,99,1.45,PG,1619183518
430,Harper,4.38,-7.72,84.7,75,100,9.84,LR,1619183518
431,Cássia,-20.58,-46.92,74.98,46,2,2.48,BR,1619183473
432,Fayetteville,35.05,-78.88,53.01,50,1,4.61,US,1619183326
433,Camacha,33.08,-16.33,69.8,64,20,18.41,PT,1619183519
434,São João da Barra,-21.64,-41.05,78.8,57,0,8.05,BR,1619183519
435,Forsytheganj,52.63,29.73,47.16,51,99,13.56,BY,1619183520
436,Northam,51.03,-4.22,61.0,45,25,3.0,GB,1619183520
437,Yazman,29.12,71.74,91.72,16,0,12.24,PK,1619183293
438,Sioux Lookout,50.1,-91.92,41.0,52,75,5.75,CA,1619183520
439,Amalāpuram,16.58,82.02,84.2,74,75,5.75,IN,1619183232
440,Ambon City,-3.7,128.18,78.8,89,40,5.75,ID,1619183521
441,Stykkisholmur,65.08,-22.73,43.02,86,100,6.78,IS,1619183521
442,Lucapa,-8.42,20.74,81.03,63,100,4.45,AO,1619183521
443,Martinez,38.02,-122.13,51.8,76,40,12.66,US,1619183522
444,Karpathos,35.51,27.21,69.8,35,0,4.61,GR,1619183522
445,Hoquiam,46.98,-123.89,48.99,81,90,5.75,US,1619183522
446,Millinocket,45.66,-68.71,35.6,55,90,17.27,US,1619183523
447,Vila Franca do Campo,37.72,-25.43,62.6,63,20,28.77,PT,1619183523
448,Hadejia,12.45,10.04,106.56,7,76,6.42,NG,1619183523
449,Galitsy,56.18,42.85,64.4,34,40,11.18,RU,1619183524
450,Iskateley,67.68,53.15,35.94,94,100,18.21,RU,1619183524
451,Quthing,-30.4,27.7,68.72,25,13,14.72,LS,1619183525
452,A Coruña,43.37,-8.4,66.99,59,0,16.11,ES,1619183511
453,Tromsø,69.65,18.96,36.0,93,40,10.36,NO,1619183526
454,Tongliao,43.61,122.27,51.3,88,100,4.41,CN,1619183526
455,Morehead,37.27,-87.18,46.99,61,90,4.97,US,1619183418
456,Plérin,48.54,-2.78,62.6,59,0,9.22,FR,1619183526
457,Guiyang,26.58,106.72,73.4,73,20,8.95,CN,1619183527
458,Paralímni,35.04,33.98,84.2,53,0,8.05,CY,1619183527
459,Banda Aceh,5.56,95.32,82.29,74,95,11.79,ID,1619183527
460,Ginda,30.69,78.49,51.24,82,100,4.99,IN,1619183527
461,Jacqueville,5.21,-4.41,87.8,74,40,11.5,CI,1619183528
462,Itarema,-2.92,-39.92,84.06,68,15,7.4,BR,1619183528
463,Lagos,6.58,3.75,91.4,66,75,8.05,NG,1619183528
464,Alamosa,37.47,-105.87,33.8,86,20,14.97,US,1619183529
465,Anchorage,61.22,-149.9,37.99,64,1,3.42,US,1619183529
466,Tursunzoda,38.51,68.23,73.4,21,0,5.7,TJ,1619183530
467,Maryville,35.76,-83.97,45.0,70,90,1.39,US,1619183530
468,Moïssala,8.34,17.77,101.88,24,79,5.08,TD,1619183348
469,Bilma,18.69,12.92,106.95,5,24,13.11,NE,1619183530
470,Marawi,8.0,124.29,78.01,90,69,4.0,PH,1619183531
471,Acaraú,-2.89,-40.12,83.34,71,13,6.8,BR,1619183531
472,Minudasht,37.23,55.37,69.8,68,90,11.5,IR,1619183531
473,Mukhen,48.1,136.1,55.29,79,100,8.68,RU,1619183532
474,Nioro,13.35,-15.75,99.25,12,91,6.71,GM,1619183532
475,Carballo,43.21,-8.69,66.99,64,100,8.01,ES,1619183532
476,Diamantina,-18.25,-43.6,72.93,49,0,2.01,BR,1619183533
477,Bereda,43.27,-7.54,64.0,68,100,7.0,ES,1619183533
478,Presidencia Roque Sáenz Peña,-26.79,-60.44,69.01,88,15,1.01,AR,1619183533
479,Katsuura,35.13,140.3,55.4,67,20,10.36,JP,1619183534
480,Thung Song,8.16,99.68,80.6,89,40,3.44,TH,1619183534
481,Manali,13.17,80.27,86.0,66,20,4.61,IN,1619183534
482,Yulara,-25.24,130.99,62.6,42,0,5.75,AU,1619183534
483,Kenai,60.55,-151.26,41.0,70,90,3.44,US,1619183535
484,Yerbogachën,61.28,108.01,32.11,85,100,6.89,RU,1619183535
485,Yuli,9.7,10.27,105.64,20,31,9.13,NG,1619183536
486,Bubaque,11.28,-15.83,78.85,56,70,4.14,GW,1619183536
487,Nushki,29.55,66.02,87.3,8,0,5.57,PK,1619183536
488,Wagga Wagga,-35.12,147.37,46.4,81,16,3.44,AU,1619183537
489,Tura,25.52,90.22,77.88,31,0,4.32,IN,1619183537
490,Muisne,0.6,-80.03,78.8,94,75,3.44,EC,1619183537
491,Yenotayevka,47.25,47.03,59.74,62,85,15.55,RU,1619183538
492,Constantine,36.37,6.61,59.0,72,75,10.36,DZ,1619183436
493,Los Llanos de Aridane,28.66,-17.92,71.6,73,75,2.3,ES,1619183538
494,Hammerfest,70.66,23.68,32.0,100,90,21.85,NO,1619183538
495,Malko Tarnovo,41.98,27.53,68.0,45,40,10.36,BG,1619183539
496,Iqaluit,63.75,-68.51,26.6,80,90,4.61,CA,1619183539
497,Kloulklubed,7.04,134.26,78.8,89,40,5.1,PW,1619183539
498,Dunedin,-45.87,170.5,54.0,82,100,1.01,NZ,1619183339
499,Peleduy,59.63,112.74,32.22,92,100,7.49,RU,1619183540
500,Balad,34.02,44.15,97.09,7,100,15.64,IQ,1619183540
501,Fécamp,49.76,0.37,64.4,24,0,13.8,FR,1619183541
502,Fontem,5.47,9.88,79.12,68,100,2.08,CM,1619183541
503,Gamba,-2.65,10.0,84.11,61,100,8.41,GA,1619183541
504,Olafsvik,64.89,-23.71,43.09,90,100,14.25,IS,1619183542
505,Khanbari,27.37,87.2,75.29,23,4,0.58,NP,1619183542
506,La Palma,33.85,-118.05,57.99,82,90,3.91,US,1619183542
507,Athy,52.99,-6.98,57.99,47,100,7.0,IE,1619183543
508,Alta Gracia,-31.65,-64.43,66.99,88,100,1.99,AR,1619183543
509,Manaia,-39.55,174.13,55.99,94,94,7.61,NZ,1619183543
510,Ghansor,22.65,79.95,96.8,15,40,9.22,IN,1619183544
511,Oranjemund,-28.55,16.43,67.8,69,0,15.23,NA,1619183544
512,Cooma,-36.23,149.13,32.0,86,0,2.13,AU,1619183544
513,Myrtle Beach,33.69,-78.89,57.0,71,1,8.05,US,1619183476
514,Sinjai,-5.12,120.25,75.87,90,100,4.81,ID,1619183545
515,Quelimane,-17.88,36.89,84.0,65,75,9.22,MZ,1619183545
516,Bindura,-17.3,31.33,73.99,47,15,1.01,ZW,1619183545
517,Yamada,39.47,141.95,44.2,71,6,3.13,JP,1619183546
518,Chittarkonda,18.12,82.08,78.48,67,75,6.31,IN,1619183546
519,Arlit,18.74,7.39,104.76,5,30,5.41,NE,1619183546
520,Demyansk,57.64,32.47,48.09,50,90,12.46,RU,1619183547
521,Kalianget,-7.05,113.93,80.6,67,54,6.62,ID,1619183547
522,Iguape,-24.71,-47.56,69.82,74,93,5.68,BR,1619183547
523,Champerico,14.3,-91.92,75.2,88,0,4.32,GT,1619183548
524,Port-Gentil,-0.72,8.78,80.26,73,100,3.04,GA,1619183548
525,Peringat,6.03,102.28,75.2,94,40,5.75,MY,1619183548
526,Petropavlovka,50.61,105.32,37.45,47,100,6.67,RU,1619183549
527,Moree,-29.47,149.85,50.0,66,0,3.44,AU,1619183549
528,Srandakan,-7.94,110.25,77.76,77,22,4.18,ID,1619183549
529,Murray Bridge,-35.12,139.27,53.01,96,100,4.9,AU,1619183550
530,Berdigestyakh,62.1,126.7,21.88,93,63,8.61,RU,1619183550
531,Babstovo,48.12,132.48,50.56,37,100,14.47,RU,1619183550
532,Namtsy,62.72,129.67,23.0,93,40,2.24,RU,1619183551
533,Atocha,-20.93,-66.23,45.18,19,0,8.14,BO,1619183470
534,Lokot',52.56,34.58,45.05,79,100,6.53,RU,1619183551
535,Zhangjiakou,40.81,114.88,61.3,51,91,5.53,CN,1619183551
536,Tucuruí,-3.77,-49.67,81.7,78,100,1.59,BR,1619183552
537,Ibotirama,-12.19,-43.22,81.19,71,26,0.07,BR,1619183552
538,Puerto Ayacucho,5.66,-67.62,83.48,65,8,2.51,VE,1619183553
539,Zhezkazgan,47.8,67.71,52.11,22,65,16.82,KZ,1619183553
540,Kitgum,3.28,32.89,81.73,56,97,4.59,UG,1619183553
541,Caucayá,-0.19,-74.78,76.03,91,95,1.23,CO,1619183554
542,Esim,4.87,-2.24,86.5,68,100,9.8,GH,1619183554
543,Tomatlán,19.93,-105.25,67.86,67,99,3.47,MX,1619183554
544,Dicabisagan,17.08,122.42,77.13,86,13,0.94,PH,1619183555
545,Banepā,27.63,85.52,73.4,33,20,9.22,NP,1619183555
546,Washington,47.5,-120.5,45.0,69,100,2.93,US,1619183344
547,Dhārchula,29.85,80.53,57.56,86,55,4.94,IN,1619183555
548,Chapais,49.78,-74.85,30.2,55,1,16.11,CA,1619183556
549,Uyemskiy,64.47,40.85,57.2,51,20,11.18,RU,1619183556
550,Kalabo,-14.97,22.68,87.44,26,92,5.95,ZM,1619183557
551,Luwuk,-0.95,122.79,78.89,84,98,3.2,ID,1619183557
552,Beroroha,-21.67,45.17,90.95,30,17,2.08,MG,1619183557
553,Qandala,11.47,49.87,84.18,65,99,6.11,SO,1619183557
554,El Batey,19.77,-70.52,77.0,88,20,8.34,DO,1619183558
555,Inhambane,-23.86,35.38,82.4,57,40,6.91,MZ,1619183558
556,Poanas,25.77,-103.62,78.8,14,75,3.69,MX,1619183558
557,Adrar,20.5,-10.07,94.69,7,0,5.48,MR,1619183559
558,El Limon,10.31,-67.63,75.2,61,8,2.3,VE,1619183559
559,Great Falls,47.5,-111.3,25.0,86,90,9.22,US,1619183559
560,Nago,26.59,127.98,66.2,88,40,27.63,JP,1619183560
561,Ahar,38.48,47.07,65.39,52,1,11.79,IR,1619183560
562,Isla Mujeres,21.23,-86.73,81.0,74,40,10.36,MX,1619183560
563,Hinton,53.4,-117.59,26.6,54,100,5.75,CA,1619183561
564,Bowen,-20.02,148.23,66.2,100,90,11.5,AU,1619183561
565,Verkh-Usugli,52.7,115.17,29.86,24,47,3.76,RU,1619183561
566,Gunjur,13.2,-16.73,89.6,43,0,11.5,GM,1619183562
567,Vanderhoof,54.02,-124.02,28.85,66,6,2.39,CA,1619183562
568,Bogorodskoye,56.55,37.88,58.37,51,100,13.62,RU,1619183562
569,Chatrā,24.22,84.87,100.4,10,20,9.22,IN,1619183563
570,Cururupu,-1.83,-44.87,84.06,72,33,3.83,BR,1619183563
571,Broome,42.25,-75.83,39.99,60,1,12.66,US,1619183563
572,Sept-Îles,50.2,-66.38,39.99,100,75,5.75,CA,1619183522
573,Lyangasovo,58.52,49.45,51.04,67,100,5.1,RU,1619183564
574,Fairbanks,64.84,-147.72,42.8,60,1,8.05,US,1619183404
575,Voitsberg,47.03,15.15,64.0,33,0,9.22,AT,1619183564
576,Yaan,7.38,8.57,100.04,33,56,7.85,NG,1619183565
